date,rate
19620101,0.031
19630101,0.0336
19640101,0.0385
19650101,0.0415
19660101,0.052
19670101,0.0488
19680101,0.0569
19690101,0.0712
19700101,0.069
19710101,0.0489
19720101,0.0495
19730101,0.0732
19740101,0.082
19750101,0.0678
19760101,0.0588
19770101,0.0608
19780101,0.0834
19790101,0.1065
19800101,0.12
19810101,0.148
19820101,0.1227
19830101,0.0958
19840101,0.1091
19850101,0.0842
19860101,0.0645
19870101,0.0677
19880101,0.0765
19890101,0.0853
19900101,0.0789
19910101,0.0586
19920101,0.0389
19930101,0.0343
19940101,0.0532
19950101,0.0594
19960101,0.0552
19970101,0.0563
19980101,0.0505
19990101,0.0508
20000101,0.0611
20010101,0.0349
20020101,0.02
20030101,0.0124
20040101,0.0189
20050101,0.0362
20060101,0.0494
20070101,0.0453
20080101,0.0183
20090101,0.0047
20100101,0.0032
20110101,0.0018
20120101,0.0017
20130101,0.0013
20140101,0.0012
