date,rate
19620101,0.0329
19620201,0.0321
19620301,0.0297
19620401,0.0307
19620501,0.0299
19620601,0.032
19620701,0.0333
19620801,0.0314
19620901,0.0302
19621001,0.0297
19621101,0.0302
19621201,0.0305
19630101,0.0303
19630201,0.0302
19630301,0.0309
19630401,0.0311
19630501,0.032
19630601,0.0319
19630701,0.035
19630801,0.0359
19630901,0.0359
19631001,0.0368
19631101,0.0374
19631201,0.0383
19640101,0.0376
19640201,0.0391
19640301,0.0394
19640401,0.0384
19640501,0.0384
19640601,0.0378
19640701,0.0369
19640801,0.0381
19640901,0.0384
19641001,0.0386
19641101,0.041
19641201,0.0399
19650101,0.0396
19650201,0.0409
19650301,0.0403
19650401,0.0404
19650501,0.0404
19650601,0.0396
19650701,0.0402
19650801,0.0413
19650901,0.0436
19651001,0.0433
19651101,0.044
19651201,0.0496
19660101,0.0489
19660201,0.0501
19660301,0.049
19660401,0.0491
19660501,0.0504
19660601,0.0505
19660701,0.0524
19660801,0.0584
19660901,0.0562
19661001,0.055
19661101,0.0545
19661201,0.05
19670101,0.0462
19670201,0.0476
19670301,0.0413
19670401,0.0414
19670501,0.0418
19670601,0.0497
19670701,0.0505
19670801,0.052
19670901,0.0527
19671001,0.0547
19671101,0.0565
19671201,0.0576
19680101,0.0536
19680201,0.0543
19680301,0.0559
19680401,0.06
19680501,0.0606
19680601,0.0591
19680701,0.055
19680801,0.0543
19680901,0.0544
19681001,0.0566
19681101,0.0578
19681201,0.0646
19690101,0.0641
19690201,0.0647
19690301,0.0627
19690401,0.0626
19690501,0.0664
19690601,0.0758
19690701,0.0757
19690801,0.0764
19690901,0.0801
19691001,0.0758
19691101,0.0804
19691201,0.0832
19700101,0.0815
19700201,0.0711
19700301,0.069
19700401,0.0772
19700501,0.0765
19700601,0.074
19700701,0.07
19700801,0.0684
19700901,0.0658
19701001,0.0629
19701101,0.0506
19701201,0.0494
19710101,0.0423
19710201,0.0369
19710301,0.0392
19710401,0.0477
19710501,0.0513
19710601,0.0624
19710701,0.0618
19710801,0.0528
19710901,0.0527
19711001,0.0464
19711101,0.0476
19711201,0.0446
19720101,0.0436
19720201,0.0434
19720301,0.0511
19720401,0.0461
19720501,0.0464
19720601,0.0515
19720701,0.0482
19720801,0.054
19720901,0.0561
19721001,0.0544
19721101,0.0535
