caldt,vwretd,ewretd,totval,usdcnt
19880129,0.042712,0.050075,1779388160.00,500
19880229,0.047445,0.075351,1849150230.00,500
19880331,-0.030847,-0.007630,1783600710.00,500
19880429,0.010516,0.003409,1810206540.00,500
19880531,0.008012,0.004565,1811159240.00,500
19880630,0.047676,0.060296,1880035460.00,500
19880729,-0.004458,-0.010679,1867345360.00,500
19880831,-0.032488,-0.033321,1796903750.00,500
19880930,0.042739,0.041666,1864651110.00,500
19881031,0.026891,0.013806,1909704860.00,498
19881130,-0.014355,-0.022981,1869942410.00,500
19881230,0.018553,0.027689,1873261790.00,500
19890131,0.072303,0.071117,1995895570.00,500
19890228,-0.025031,-0.011182,1916452910.00,500
19890331,0.023038,0.020053,1957844650.00,500
19890428,0.051707,0.049637,2054123610.00,500
19890531,0.041022,0.047241,2127029740.00,499
19890630,-0.005611,-0.006750,2108810760.00,499
19890731,0.090053,0.082832,2291840670.00,500
19890831,0.019853,0.029177,2319747940.00,500
19890929,-0.004004,-0.015646,2303271950.00,500
19891031,-0.023633,-0.046650,2245974590.00,500
19891130,0.020479,0.012291,2283429520.00,500
19891229,0.022657,0.015265,2331045780.00,500
19900131,-0.067661,-0.073185,2169257170.00,500
19900228,0.013381,0.014022,2189175420.00,499
19900330,0.026588,0.031748,2235390660.00,500
19900430,-0.024504,-0.040596,2174598700.00,500
19900531,0.097419,0.096223,2374490580.00,500
19900629,-0.006754,-0.014536,2349498440.00,500
19900731,-0.004454,-0.024605,2334209120.00,500
19900831,-0.090801,-0.112374,2112582920.00,500
19900928,-0.048959,-0.073624,2002928580.00,499
19901031,-0.003597,-0.036372,1991168900.00,500
19901130,0.064561,0.092115,2110446020.00,500
19901231,0.027987,0.041912,2157632800.00,500
19910131,0.045001,0.082065,2252386090.00,500
19910228,0.071565,0.085194,2405166440.00,500
19910328,0.024354,0.030853,2467384060.00,500
19910430,0.002268,0.005046,2468691450.00,499
19910531,0.042930,0.054462,2564421530.00,500
19910628,-0.045357,-0.049743,2450413650.00,500
19910731,0.046526,0.041944,2562517660.00,500
19910830,0.023885,0.022633,2613522050.00,500
19910930,-0.016861,-0.019202,2576043750.00,500
19911031,0.013458,0.010790,2607206870.00,500
19911129,-0.040214,-0.050809,2503675760.00,500
19911231,0.114089,0.113619,2789110760.00,500
19920131,-0.018348,0.017853,2745911680.00,500
19920228,0.012865,0.030385,2773359970.00,500
19920331,-0.019470,-0.020264,2728268260.00,500
19920430,0.028614,0.016597,2799309950.00,500
19920529,0.004850,0.001930,2802423500.00,500
19920630,-0.015030,-0.020451,2771525140.00,500
19920731,0.040924,0.040790,2886309510.00,500
19920831,-0.020615,-0.027431,2818496900.00,500
19920930,0.011340,0.018991,2846183180.00,500
19921030,0.004796,0.020398,2857804680.00,500
19921130,0.033794,0.044229,2943785130.00,500
19921231,0.013380,0.022532,2985091950.00,500
19930129,0.007282,0.022706,3002993400.00,500
19930226,0.013526,0.010886,3034142190.00,500
